time,edge,density,speed,waiting,mode,congestion
7,N6_N9,0,13.9,0.0,0,0
7,N7_N4,0,13.9,0.0,0,0
7,N7_N8,0,13.9,0.0,0,0
7,N8_N5,0,13.9,0.0,0,0
7,N8_N7,0,13.9,0.0,0,0
7,N8_N9,0,13.9,0.0,0,0
7,N9_N6,0,13.9,0.0,0,0
7,N9_N8,0,13.9,0.0,0,0
8,N1_N2,2,10.487172923830803,0.0,0,0
8,N1_N4,3,10.179469019982115,0.0,0,0
8,N2_N1,0,13.9,0.0,0,0
8,N2_N3,0,13.9,0.0,0,0
8,N2_N5,0,13.9,0.0,0,0
8,N3_N2,0,13.9,0.0,0,0
8,N3_N6,3,9.976033717750775,0.0,0,0
8,N4_N1,0,13.9,0.0,0,0
8,N4_N5,0,13.9,0.0,0,0
8,N4_N7,0,13.9,0.0,0,0
8,N5_N2,0,13.9,0.0,0,0
8,N5_N4,0,13.9,0.0,0,0
8,N5_N6,0,13.9,0.0,0,0
8,N5_N8,0,13.9,0.0,0,0
8,N6_N3,0,13.9,0.0,0,0
8,N6_N5,0,13.9,0.0,0,0
8,N6_N9,0,13.9,0.0,0,0
8,N7_N4,0,13.9,0.0,0,0
8,N7_N8,0,13.9,0.0,0,0
8,N8_N5,0,13.9,0.0,0,0
8,N8_N7,0,13.9,0.0,0,0
8,N8_N9,0,13.9,0.0,0,0
8,N9_N6,0,13.9,0.0,0,0
8,N9_N8,0,13.9,0.0,0,0
9,N1_N2,3,9.187279292116873,0.0,0,0
9,N1_N4,4,9.193985435616849,0.0,0,0
9,N2_N1,0,13.9,0.0,0,0
9,N2_N3,0,13.9,0.0,0,0
9,N2_N5,0,13.9,0.0,0,0
9,N3_N2,0,13.9,0.0,0,0
9,N3_N6,4,8.81719450621081,0.0,0,0
9,N4_N1,0,13.9,0.0,0,0
9,N4_N5,0,13.9,0.0,0,0
9,N4_N7,0,13.9,0.0,0,0
9,N5_N2,0,13.9,0.0,0,0
9,N5_N4,0,13.9,0.0,0,0
9,N5_N6,0,13.9,0.0,0,0
9,N5_N8,0,13.9,0.0,0,0
9,N6_N3,0,13.9,0.0,0,0
9,N6_N5,0,13.9,0.0,0,0
9,N6_N9,0,13.9,0.0,0,0
9,N7_N4,0,13.9,0.0,0,0
9,N7_N8,0,13.9,0.0,0,0
9,N8_N5,0,13.9,0.0,0,0
9,N8_N7,0,13.9,0.0,0,0
9,N8_N9,0,13.9,0.0,0,0
9,N9_N6,0,13.9,0.0,0,0
9,N9_N8,0,13.9,0.0,0,0
10,N1_N2,3,9.925735950185917,0.0,0,0
10,N1_N4,4,10.133473764504306,0.0,0,0
10,N2_N1,0,13.9,0.0,0,0
10,N2_N3,0,13.9,0.0,0,0
10,N2_N5,0,13.9,0.0,0,0
10,N3_N2,0,13.9,0.0,0,0
10,N3_N6,4,9.812156808438315,0.0,0,0
10,N4_N1,0,13.9,0.0,0,0
10,N4_N5,0,13.9,0.0,0,0
10,N4_N7,0,13.9,0.0,0,0
